year,predicted_earthquakes
2027,26503.268301094427
2028,27483.528954451554
2029,27483.528954451554
2030,27483.528954451554
2031,27483.528954451554
2032,27483.528954451554
2033,27483.528954451554
2034,27483.528954451554
2035,27483.528954451554
2036,27483.528954451554
